source,source_id,page,line,image_path,ground_truth_text
Buendia - Instruccion transcription,source1,2,1,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/2_line_001.png,Al
Buendia - Instruccion transcription,source1,2,2,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/2_line_002.png,INFINITAMENTE AMABLE
Buendia - Instruccion transcription,source1,2,3,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/2_line_003.png,NIÑO JESUS.
Buendia - Instruccion transcription,source1,2,4,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/2_line_004.png,"A Vos, Dulcissimo Niño"
Buendia - Instruccion transcription,source1,2,5,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/2_line_005.png,"JESUS, que no solo os"
Buendia - Instruccion transcription,source1,2,6,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/2_line_006.png,dignasteis de llamaros
Buendia - Instruccion transcription,source1,2,7,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/2_line_007.png,"Doctor de los Niños,"
Buendia - Instruccion transcription,source1,2,8,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/2_line_008.png,sino también de assis-
Buendia - Instruccion transcription,source1,2,9,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/2_line_009.png,"tir como Niño entre los Doctores,"
Buendia - Instruccion transcription,source1,2,10,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/2_line_010.png,se consagra humilde esta pequeña
Buendia - Instruccion transcription,source1,2,11,/home/hemanth/Documents/RenAIssance/Test1/Data/line_crops/Buendia - Instruccion transcription/2_line_011.png,"Instrucción de los Niños. Es assi,"
